EP Site ID,Latitude,Longitude
PH-TAR-02376,15.29448333,120.54845
PH-TAR-00623,15.637808,120.409722
PH-TAR-00591,15.716052,120.423555
PH-TAR-00756,15.35215,120.45655
PH-TAR-00747,15.3666,120.562347
PH-TAR-00754,15.35667,120.711471
PH-TAR-00737,15.397631,120.702585
PH-PAN-02374,15.865488,120.325699
PH-APA-00050,18.01444,121.185514
PH-IFU-00249,16.846333,121.107136
PH-ZMB-01121,14.851484,120.286914
PH-IFU-00263,16.764954,121.144359
PH-ISA-00228,16.913433,121.625813
PH-ILS-00161,17.193371,120.451599
PH-TAR-00586,15.744639,120.439874
PH-BEN-00344,16.3886,120.5633167
PH-ILN-00025,18.234161,120.574408
PH-NUE-00606,15.678597,121.084512
PH-NUE-00666,15.549745,120.934292
PH-NUV-00377,16.244838,120.995107
PH-NUV-00336,16.414456,121.109055
PH-ILN-00026,18.228627,120.606911
PH-NUE-00693,15.499971,121.008554
PH-TAR-00574,15.797446,120.613165
PH-PAM-01011,14.94063333,120.7370667
PH-NUV-03203,15.800206,121.310296
PH-PAM-00803,15.203791,120.810721
PH-PAM-00816,15.173757,120.795862
PH-ILN-00007,18.550055,120.932527
PH-PAM-01003,14.949253,120.566614
PH-PAN-00453,16.021119,120.33751
PH-ABR-00095,17.614711,120.657189
PH-PAM-02550,15.032707,120.514535
PH-PAM-00912,15.04948333,120.5508833
PH-CAG-00053,17.929452,121.772214
PH-PAN-00516,15.942887,120.442745
PH-PAM-00918,15.040666,120.711803
PH-PAM-00947,15.00823333,120.5682
PH-PAM-00987,14.967145,120.683186
PH-PAN-00388,16.18955,120.0050667
PH-PAN-02690,16.35025,119.8461833
PH-PAN-00470,16.00128889,120.2436667
PH-BAN-01425,14.67055,120.5023
PH-BUL-00988,14.96651667,120.99365
PH-BUL-01262,14.73085,120.9221833
PH-PAN-00460,16.013204,120.521251
PH-BUL-02583,14.8531,120.9755833
PH-CAG-00073,17.688578,121.591334
PH-NUV-00312,16.53125,121.2271389
PH-BEN-00293,16.643136,120.769016
PH-BUL-01184,14.799885,120.950832
PH-BUL-01019,14.935041,120.842326
PH-BUL-01008,14.94141667,120.8880333
PH-TAR-00645,15.588586,120.487951
PH-BUL-01104,14.86035,120.7360833
PH-NCR-02223,14.5853,121.0584
PH-NCR-02557,14.597272,120.99729
PH-PAM-02401,15.143871,120.596717
PH-PAM-00940,15.01723,120.667685
PH-LUN-00257,16.812641,120.344524
PH-PAM-00891,15.079105,120.645583
PH-PAM-01014,14.938465,120.545665
PH-ZMB-01037,14.917542,120.2302
PH-AUR-00386,16.194131,122.054141
PH-RIZ-01868,14.506104,121.200776
PH-NCR-01445,14.66590278,121.0259806
PH-NCR-01814,14.563726,120.999234
PH-NCR-02391,14.521105,121.0612
PH-NCR-02641,14.505991,121.060532
PH-NCR-01875,14.493641,121.049473
PH-NCR-01441,14.6671897,121.0430844
PH-NCR-01724,14.59056,121.0572
PH-NCR-01265,14.729792,121.053179
PH-NCR-01287,14.720276,121.027336
PH-NCR-01293,14.717312,121.046077
PH-NCR-01298,14.71626,121.06114
PH-NCR-01356,14.692242,121.028721
PH-NCR-01357,14.692213,121.042581
PH-NCR-01416,14.672846,121.0199
PH-NCR-01510,14.646066,120.994402
PH-NCR-01546,14.634687,121.034808
PH-BUL-01200,14.776171,121.071952
PH-NCR-01212,14.76612,121.05933
PH-NCR-01395,14.681381,121.002258
PH-NCR-01552,14.632409,120.968273
PH-NCR-01353,14.69275,120.96396
PH-NCR-01315,14.7077,121.0015
PH-RIZ-01414,14.67381,121.12486
PH-NCR-02420,14.666238,121.127624
PH-NCR-01582,14.62415,121.09413
PH-NCR-01737,14.587699,121.052061
PH-NCR-01728,14.589883,121.046549
PH-NCR-01745,14.58525,121.0553472
PH-CAS-03180,13.42803333,123.4178167
PH-CAT-02463,13.57528333,124.2101
PH-QUE-02698,13.931555,121.612861
PH-CAT-02024,13.600564,124.298182
PH-QUE-03196,13.92105,122.1079333
PH-BTG-03209,13.94963333,120.6306167
PH-CAS-02007,13.695467,123.06015
PH-BTG-03230,13.770303,120.92765
PH-QUE-02695,13.88715,122.262317
PH-PAN-03226,15.81263333,120.4436833
PH-PAN-00397,16.16571667,120.5221333
PH-ILS-00065,17.78995,120.4555833
PH-ILN-00049,18.05526667,120.5557667
PH-ISA-00214,16.963523,121.826409
PH-PAN-00541,15.898399,120.59117
PH-BEN-00335,16.41473333,120.5826333
PH-ISA-00178,17.127884,121.720537
PH-BEN-00333,16.41711667,120.6254833
PH-ISA-00240,16.87818333,121.5913667
PH-CAG-00015,18.340136,121.647915
PH-CAG-00097,17.61381667,121.7280833
PH-PAN-00407,16.10996667,120.5397667
PH-PAN-00403,16.1211,120.4056
PH-PAN-00346,16.3802,119.8939167
PH-LUN-00381,16.23223333,120.4860167
PH-LUN-00341,16.39716667,120.34375
PH-LUN-00279,16.69769444,120.3435278
PH-LUN-00260,16.79986389,120.4219333
PH-ILN-00032,18.19512,120.59532
PH-BEN-03191,16.404418,120.585669
PH-ILN-00019,18.270309,120.61759
PH-BEN-02576,16.41793333,120.59745
PH-CAG-00086,17.62846667,121.7857167
PH-CAG-00048,18.056046,121.643367
PH-IFU-02609,16.78096667,121.1159833
